PHOBIAS,RELATED WORDS
Acrophobia,"meridian,altitude,cliffs,mass,mountain,rooftop,summit,tallness,deal,stature,rooftops,tiptop,muckle,drop-off,mint,pile,acme,sight,skyscrapers,ladder,height,batch,passel,quite_a_little,ladders,heights,skyscraper,lot,raft,run,good_deal,heap,mount,flock,high,cliff,pinnacle,ravel,hatful,peck,plenty,pot,top,mickle,drop,great_deal,wad,stack,peak,mountains,superlative,slew,elevation,spate,mess,tidy_sum"
Ablutophobia,"water_system,scoop,pee,cascade,hygienics,cleanliness,liquid_ecstasy,exhibitioner,max,urine,lather,exhibitor,tub,piss,bathtub,weewee,bathroom,water_supply,easy_lay,h2o,soap,bath,body_of_water,shower,piddle,georgia_home_boy,lavish,hygiene,goop,shower_down,irrigate,grievous_bodily_harm,rain_shower,bathe,bathing_tub,shower_bath,water"
Achluophobia,"total_darkness,blackness,vague,vestige,bootleg,melanise,smutty,discharge,dim,apparition,night,abandon,slur,vacuous,disastrous,phantasm,phantasma,dumb,swarthiness,tail,melanize,blur,disgraceful,negro,opprobrious,phantom,shameful,iniquity,subdued,black,blackamoor,fantasm,dip,dark,fateful,shade_off,calamitous,evacuate,slow,sinister,nighttime,nox,shadow,overshadow,bleak,shirley_temple_black,fatal,shade,shadower,contraband,black-market,faint,dense,shadowy,inkiness,pitch-black,trace,blackened,negroid,black_person,hollow,empty-bellied,joseph_black,wispy,lightlessness,mordant,wickedness,vacate,dwarf,inglorious,shadows,nigrify,grim,duskiness,empty,pitch_blackness,ignominious,shirley_temple,tincture,dimmed,smuggled,blacken,blind,obtuse,void,darkness,dull,pitch-dark"
Aerophobia,"sturm_und_drang,cowcatcher,smash,plane,fast,wing,upheaval,dash,fell,airport,buffer,drome,clank,go_down,break_up,turbulency,clang,gate-crash,airplane_pilot,quick,flee,collapse,doss_down,crash,turbulence,pilot_film,airports,ram,pilot_burner,fly,airplane,fast-flying,clangoring,pilots,barge_in,pilot_program,clash,archetype,wreck,aerodrome,clangour,original,fender,airdrome,break_apart,vanish,vaporize,pilot_light,navigate,flight,clangor,pilot,take_flight,aviate,aeroplane,flying,doss"
Algophobia,"scream,support,put_up,shrieking,rack,excruciate,descent,botheration,straining,pain,pain_in_the_neck,endure,torment,origin,sophisticate,roue,dr.,hurt,painful_sensation,nuisance,ache,wretched,suffering,ancestry,parentage,trauma,syringe,shout,abide,doctor,shriek,riot,agony,combat_injury,furbish_up,yell,line_of_descent,wow,bushel,pedigree,belly_laugh,suffer,torture,repair,medico,bother,ail,trouble,twisting,stemma,distortion,cry,have,howler,overrefinement,touch_on,brook,injury,doctor_up,excruciation,accidental_injury,hollo,shout_out,blood,sidesplitter,screeching,tolerate,doctor_of_the_church,rakehell,stick_out,digest,torturing,miserable,wound,md,physician,woe,anguish,squall,screech,hurting,fix,line,stock,painfulness,stomach,lineage,doc,call,profligate,stand,pain_in_the_ass,harm,screaming,pain_sensation,lose,infliction,holler,bloodline,distress,restore,meet,sustain,blood_line,thigh-slapper,get,mend,annoyance,rake,rip,bear"
Agoraphobia,"suffocating,suffocate,trap,pin_down,street,smother,immobilize,bunch,streets,asphyxiate,ensnare,metropolis,cornered,herd,gag,market,gang,trammel,food_market,stifle,entrap,city,immobilise,crowd_together,snare,grocery,grocery_store,suffocative,treed,securities_industry,mart,crowd,choke,world,public,push,at_bay,marketplace,market_place,populace,trapped,crew,cities,commercialize,commercialise,pin,smothering,urban_center,strangle"
Aichmophobia,"guessing,furbish_up,guesswork,goad,dig,doctor_of_the_church,barb,bushel,slam,scissor,blastoff,scissors_hold,pair_of_scissors,scissors_grip,pellet,doctors,crack,vaccinum,doc,md,shots,needle,physician,acerate_leaf,knife,restore,repair,medico,phonograph_needle,nip,injectant,shooter,injection,fix,scissor_hold,sophisticate,gibe,needles,tongue,dr.,snap,vaccine,vaccines,scissor_grip,touch_on,guess,mend,dead_reckoning,shooting,snapshot,stab,stroke,shot,doctor_up,scene,shaft,doctor,jibe,scissors"
Amaxophobia,"highway,smash,route,roadstead,road,fortuity,crashes,accident,dash,main_road,clank,go_down,break_up,gate-crash,clang,dealings,collapse,doss_down,crash,ram,clangoring,barge_in,chance_event,clash,wreck,traffic,clangour,break_apart,stroke,clangor,roads,doss"
Androphobia,"strength,durability,dominance,workforce,speciality,authority,men,ascendance,masculinity,man,long_suit,lastingness,humanity,human_race,human_being,human,ascendency,piece,potency,force,intensity_level,human_beings,laterality,military_man,military_posture,military_strength,authorization,say-so,mankind,authorisation,strong_suit,ascendence,hands,military_personnel,persuasiveness,hostility,gentleman,world,posture,forte,work_force,humankind,forcefulness,ascendancy,homo,maleness,aggressiveness,valet,aggression,gentleman's_gentleman,serviceman,military_capability,manpower,adult_male,control,strong_point,humans,metier,specialty,effectiveness,enduringness,intensity,isle_of_man,valet_de_chambre"
Anemophobia,"zephyr,ramp,gust,ventilate,winding,malarkey,blast,endure,gusts,duck_soup,snap,beam,strain,current_of_air,tune,conditions,weather_condition,gentle_wind,melodic_line,jazz,malarky,air_current,farting,pushover,lift,tip,nothingness,melody,lead,hoist,brave,force,picnic,scent,piece_of_cake,breaking_wind,atmosphere,storm,air,violent_storm,aura,air_travel,publicise,child's_play,steer,wander,roll,meander,curve,bare,atmospheric_condition,wind_up,breezes,airwave,wind_instrument,twine,breeze,line,publicize,brave_out,walkover,thread,blow,aerate,wind,broadcast,aviation,nose,rage,twist,send,air_out,weather,upwind,surprise,hint,idle_words,vent,flatus,wrap,weave,transmit,tempest,wreathe,cinch,melodic_phrase,confidential_information,fart"
